State,Year,Educational attainment,Total_Thousands,Value in Thousands,Percentage,Latitude,Longitude,Latitude2,Longitude2
Johor,2000,No formal education,"1,222.40",36.2,0.03,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2000,Primary,"1,222.40",317.3,0.26,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2000,Secondary,"1,222.40",749.2,0.613,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2000,Tertiary,"1,222.40",119.7,0.098,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2001,No formal education,"1,279.00",42.8,0.033,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2001,Primary,"1,279.00",312.9,0.245,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2001,Secondary,"1,279.00",788.3,0.616,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2001,Tertiary,"1,279.00",133.1,0.104,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2002,No formal education,"1,259.00",41.1,0.033,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2002,Primary,"1,259.00",303.9,0.241,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2002,Secondary,"1,259.00",768.3,0.61,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2002,Tertiary,"1,259.00",145.3,0.115,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2003,No formal education,"1,315.30",41.1,0.031,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2003,Primary,"1,315.30",316.9,0.241,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2003,Secondary,"1,315.30",792.8,0.603,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2003,Tertiary,"1,315.30",164.3,0.125,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2004,No formal education,"1,278.80",37.1,0.029,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2004,Primary,"1,278.80",294.4,0.23,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2004,Secondary,"1,278.80",777.5,0.608,2.0229012,103.3147721,1.0229012,104.3147721
