state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Johor,both,2000,1222.4,1195.4,27,604.1,66.9,2.2,68
Johor,female,2000,409.2,401.9,7.4,467.5,46.7,1.8,47.9
Johor,male,2000,813.2,793.6,19.6,136.6,85.6,2.4,86.3
Kedah,both,2000,645.2,626.5,18.7,391.3,62.2,2.9,63.4
Kedah,female,2000,228.7,222,6.7,301,43.2,2.9,44
Kedah,male,2000,416.6,404.6,12,90.3,82.2,2.9,83.6
Kelantan,both,2000,437.2,425.7,11.5,289,60.2,2.6,60.3
Kelantan,female,2000,163.4,158.9,4.5,211.7,43.56171688,2.753977968,44.3
Kelantan,male,2000,273.8,266.8,7,77.3,77.98348049,2.556610665,76.9
Melaka,both,2000,256.9,253.5,3.4,146,63.8,1.3,64.2
Melaka,female,2000,93.69,92.917,0.773,108.762,46.3,0.8,47
Melaka,male,2000,163.23,160.631,2.599,37.205,81.4,1.6,81.6
Negeri Sembilan,both,2000,359.6,347.4,12.2,207.5,63.5,3.4,64.5
Pahang,both,2000,459.1,446.8,12.3,279.5,62.2,2.7,56.7
Pahang,female,2000,139.8,135.5,4.3,209.6,40,3.1,36.8
Pahang,male,2000,319.3,311.3,8,69.8,82.1,2.5,74.2
Perak,both,2000,771.3,744.1,27.2,481.8,61.5,3.5,59.2
Perak,female,2000,269.5,258.3,11.2,360.2,42.8,4.2,41
Perak,male,2000,501.8,485.8,16,121.6,80.5,3.2,77.6
Perlis,both,2000,77,74.8,2.2,49.6,60.8,2.9,61.5
Perlis,female,2000,26.8,25.8,0.9,38.7,40.9,3.5,41.3
Perlis,male,2000,50.2,48.9,1.3,10.9,82.2,2.5,82.5
Penang,both,2000,682.3,669.2,13.1,280.9,70.8,1.9,75.4
Penang,female,2000,296,292.1,3.9,206.5,58.9,1.3,65.1
Penang,male,2000,386.276,377.111,9.165,74.382,83.9,2.4,85.8
Sabah,both,2000,991.6,933.8,57.8,545.1,64.5,5.8,60.8
Sabah,female,2000,302.5,280.2,22.3,437,40.9,7.4,37.9
Sabah,male,2000,689.1,653.6,35.5,108.1,86.4,5.2,82
Sarawak,both,2000,915.7,876.3,39.5,356.5,72,4.3,68.9
Sarawak,female,2000,347.4,329.8,17.6,279,55.5,5.1,52.6
Sarawak,male,2000,568.3,546.4,21.9,77.5,88,3.8,84.6
Selangor,both,2000,1715.3,1681.5,33.8,858.9,66.6,2,60.3
Selangor,female,2000,637.6,627.3,10.2,625.1,50.5,1.6,46.1
Selangor,male,2000,1077.7,1054.1,23.5,233.8,82.17935031,2.180569732,73.8
Terengganu,both,2000,315.4,306,9.4,190.8,62.3,3,60.7
Terengganu,female,2000,103.5,99.8,3.7,140.2,42.47186771,3.6,40.6
Terengganu,male,2000,211.9,206.2,5.7,50.6,80.7,2.7,79.9
Kuala Lumpur,both,2000,680.4,662.8,17.6,368.3,64.9,2.6,68
Kuala Lumpur,female,2000,246.4,240.2,6.2,259.4,48.7,2.5,50.1
Kuala Lumpur,male,2000,434,422.6,11.4,108.8,80,2.6,85.5
Labuan,both,2000,26.7,25.4,1.3,15.8,62.8,4.7,55.2
Labuan,female,2000,7.1,6.7,0.4,12.8,35.7,5.6,31.3
Labuan,male,2000,19.5,18.7,0.9,3,86.8,4.6,75.4
Johor,both,2001,1279,1235.9,43.1,666.3,65.7,3.4,68.4
Johor,female,2001,435.4,420.2,15.2,500.4,46.5,3.5,48.9
Johor,male,2001,843.6,815.7,27.9,165.9,83.6,3.3,86.2
Kedah,both,2001,727.4,701.1,26.4,460.2,61.2,3.6,69
Kedah,female,2001,267.9,258.5,9.4,352.9,43.2,3.5,50
Kedah,male,2001,459.6,442.6,16.9,107.3,81.1,3.7,88.7
Kelantan,both,2001,448,434.3,13.7,323.3,58.1,3.1,59.1
Kelantan,female,2001,160.8,153.6,7.2,234.3,40.69855733,4.47761194,41.2
Kelantan,male,2001,287.2,280.7,6.5,89,76.34237108,2.263231198,77.6
Melaka,both,2001,272.6,267.7,4.9,166.6,62.1,1.8,65.6
Melaka,female,2001,98.979,97.245,1.734,121.64,44.9,1.8,47.6
Melaka,male,2001,173.614,170.464,3.15,44.916,79.4,1.8,83.7
Negeri Sembilan,both,2001,362.8,351.3,11.5,201.5,64.3,3.2,63.5
Pahang,both,2001,451.6,437.8,13.9,266.1,62.9,3.1,54.1
Pahang,female,2001,139.2,134.4,4.9,201.8,40.8,3.5,35.5
Pahang,male,2001,312.4,303.4,9,64.3,82.9,2.9,70.5
Perak,both,2001,761.3,730.7,30.6,513.5,59.7,4,56.8
Perak,female,2001,262.6,250.6,12,374,41.2,4.6,39
Perak,male,2001,498.7,480.1,18.6,139.5,78.1,3.7,74.5
Perlis,both,2001,85.9,82.9,3,60.2,58.8,3.5,66.7
Perlis,female,2001,28.8,27.3,1.5,46.5,38.3,5.1,42.9
Perlis,male,2001,57.1,55.5,1.6,13.6,80.8,2.7,91.6
Penang,both,2001,733.3,714.9,18.3,295.5,71.3,2.5,78.8
Penang,female,2001,293.8,285.7,8.1,215.3,57.7,2.7,62.5
