State,Year,Educational attainment,Total_Thousands,Value in Thousands
JOHOR,2000,No formal education,,36.2
JOHOR,2000,Primary,"1,222.40",317.3
JOHOR,2000,Secondary,"1,222.40",749.2
JOHOR,2000,Tertiary,"1,222.40",119.7
JOHOR,2001,No formal education,"1,279.00",42.8
JOHOR,2001,Primary,"1,279.00",312.9
JOHOR,2001,Secondary,"1,279.00",788.3
JOHOR,2001,Tertiary,"1,279.00",133.1
JOHOR,2002,No formal education,"1,259.00",41.1
JOHOR,2002,Primary,"1,259.00",303.9
JOHOR,2002,Secondary,"1,259.00",768.3
JOHOR,2002,Tertiary,"1,259.00",145.3
JOHOR,2003,No formal education,"1,315.30",41.1
JOHOR,2003,Primary,"1,315.30",316.9
JOHOR,2003,Secondary,"1,315.30",792.8
JOHOR,2003,Tertiary,"1,315.30",164.3
JOHOR,2004,No formal education,"1,621.10",37.1
JOHOR,2004,Primary,"1,621.10",294.4
JOHOR,2004,Secondary,"1,621.10",777.5
JOHOR,2004,Tertiary,"1,621.10",169.8
JOHOR,2005,No formal education,"1,633.20",34.2
JOHOR,2005,Primary,"1,633.20",272.4
JOHOR,2005,Secondary,"1,633.20",783.9
JOHOR,2005,Tertiary,"1,633.20",189.5
JOHOR,2006,No formal education,"1,639.10",28.4
JOHOR,2006,Primary,"1,639.10",271.6
JOHOR,2006,Secondary,"1,639.10",786.9
JOHOR,2006,Tertiary,"1,639.10",198.8
JOHOR,2007,No formal education,"1,673.80",29.6
JOHOR,2007,Primary,"1,673.80",240.1
JOHOR,2007,Secondary,"1,673.80",838.4
JOHOR,2007,Tertiary,"1,673.80",205.5
JOHOR,2008,No formal education,,36.4
JOHOR,2008,Primary,,245
JOHOR,2008,Secondary,,799
JOHOR,2008,Tertiary,,232.6
JOHOR,2009,No formal education,,32.3
JOHOR,2009,Primary,,222.4
JOHOR,2009,Secondary,,837.4
JOHOR,2009,Tertiary,,257.9
JOHOR,2010,No formal education,,20.2
JOHOR,2010,Primary,,248.3
JOHOR,2010,Secondary,,934.1
JOHOR,2010,Tertiary,,250.9
JOHOR,2011,No formal education,,17
JOHOR,2011,Primary,,238.5
JOHOR,2011,Secondary,,965.6
JOHOR,2011,Tertiary,,278.8
JOHOR,2012,No formal education,,19.2
JOHOR,2012,Primary,,219.1
JOHOR,2012,Secondary,,"1,005.20"
JOHOR,2012,Tertiary,,285.9
JOHOR,2013,No formal education,,19.6
JOHOR,2013,Primary,,232
JOHOR,2013,Secondary,,"1,041.00"
JOHOR,2013,Tertiary,,306.3
JOHOR,2014,No formal education,,15.9
JOHOR,2014,Primary,,231.3
JOHOR,2014,Secondary,,"1,031.30"
JOHOR,2014,Tertiary,,342.7
JOHOR,2015,No formal education,,25.5
JOHOR,2015,Primary,,220.2
JOHOR,2015,Secondary,,"1,026.10"
JOHOR,2015,Tertiary,,361.4
JOHOR,2016,No formal education,,20.6
JOHOR,2016,Primary,,213.5
JOHOR,2016,Secondary,,"1,048.50"
JOHOR,2016,Tertiary,,356.5
JOHOR,2017,No formal education,,16.4
JOHOR,2017,Primary,,216.6
JOHOR,2017,Secondary,,"1,041.60"
JOHOR,2017,Tertiary,,399.2
JOHOR,2018,No formal education,,20.1
JOHOR,2018,Primary,,214.4
JOHOR,2018,Secondary,,"1,067.10"
JOHOR,2018,Tertiary,,443.4
JOHOR,2019,No formal education,,25.3
JOHOR,2019,Primary,,220.6
JOHOR,2019,Secondary,,"1,124.20"
JOHOR,2019,Tertiary,,435.6
JOHOR,2020,No formal education,,21.1
JOHOR,2020,Primary,,135.7
JOHOR,2020,Secondary,,1230.2
JOHOR,2020,Tertiary,,453.6
JOHOR,2021,No formal education,,36.4
JOHOR,2021,Primary,,124.3
JOHOR,2021,Secondary,,1153.3
JOHOR,2021,Tertiary,,521
KEDAH,2000,No formal education,,34.9
KEDAH,2000,Primary,,173.5
KEDAH,2000,Secondary,,353.9
KEDAH,2000,Tertiary,,82.8
KEDAH,2001,No formal education,,31
KEDAH,2001,Primary,,201.7
KEDAH,2001,Secondary,,411.7
KEDAH,2001,Tertiary,,82.6
KEDAH,2002,No formal education,,32.3
KEDAH,2002,Primary,,181.3
KEDAH,2002,Secondary,,372.6
KEDAH,2002,Tertiary,,80.3
KEDAH,2003,No formal education,,30.6
KEDAH,2003,Primary,,157.9
KEDAH,2003,Secondary,,389.6
KEDAH,2003,Tertiary,,102
KEDAH,2004,No formal education,,23.8
KEDAH,2004,Primary,,163.7
KEDAH,2004,Secondary,,395.9
KEDAH,2004,Tertiary,,96.9
KEDAH,2005,No formal education,,24.8
KEDAH,2005,Primary,,152.5
KEDAH,2005,Secondary,,392.6
KEDAH,2005,Tertiary,,108
KEDAH,2006,No formal education,,20.7
KEDAH,2006,Primary,,145.4
KEDAH,2006,Secondary,,406.8
KEDAH,2006,Tertiary,,109.3
KEDAH,2007,No formal education,,23.9
KEDAH,2007,Primary,,138.9
KEDAH,2007,Secondary,,413.7
KEDAH,2007,Tertiary,,116.6
KEDAH,2008,No formal education,,24.6
KEDAH,2008,Primary,,136.6
KEDAH,2008,Secondary,,402.2
KEDAH,2008,Tertiary,,139.6
KEDAH,2009,No formal education,,19.8
KEDAH,2009,Primary,,129.3
KEDAH,2009,Secondary,,425.7
KEDAH,2009,Tertiary,,157.7
KEDAH,2010,No formal education,,15.7
KEDAH,2010,Primary,,133.9
KEDAH,2010,Secondary,,445.8
KEDAH,2010,Tertiary,,151.5
KEDAH,2011,No formal education,,15.1
KEDAH,2011,Primary,,136.6
KEDAH,2011,Secondary,,454.5
KEDAH,2011,Tertiary,,163.8
KEDAH,2012,No formal education,,21.9
KEDAH,2012,Primary,,151.7
KEDAH,2012,Secondary,,487.3
KEDAH,2012,Tertiary,,149.4
KEDAH,2013,No formal education,,21.8
KEDAH,2013,Primary,,159
KEDAH,2013,Secondary,,512
KEDAH,2013,Tertiary,,169.9
KEDAH,2014,No formal education,,19.2
KEDAH,2014,Primary,,133
KEDAH,2014,Secondary,,525.3
KEDAH,2014,Tertiary,,206.7
KEDAH,2015,No formal education,,27.4
KEDAH,2015,Primary,,126.4
KEDAH,2015,Secondary,,540.3
KEDAH,2015,Tertiary,,211.2
KEDAH,2016,No formal education,,22.9
KEDAH,2016,Primary,,126.7
KEDAH,2016,Secondary,,547.5
KEDAH,2016,Tertiary,,213.9
KEDAH,2017,No formal education,,14.5
KEDAH,2017,Primary,,113.6
KEDAH,2017,Secondary,,585
KEDAH,2017,Tertiary,,219.7
KEDAH,2018,No formal education,,16
KEDAH,2018,Primary,,107.1
