State,Year,Tertiary_Thousands,Total_Thousands,Tertiary_Percentage,Longitude,Latitude,Longitude2,Latitude2
Johor,2021,521.0,1835.0,28.4,103.5,1.5,103.5,1.5
Kedah,2021,297.0,972.6,30.5,100.5,6.1,100.5,6.1
Kelantan,2021,217.0,719.8,30.1,102.2,5.7,102.2,5.7
Melaka,2021,174.4,444.1,39.3,102.3,2.2,103.0,2.5
Negeri Sembilan,2021,164.4,487.8,33.7,102.0,2.7,102.0,2.7
Pahang,2021,227.2,729.4,31.1,102.5,3.8,102.5,3.8
Penang,2021,299.5,889.5,33.7,100.3,5.4,101.0,5.6
Perak,2021,319.1,1100.6,29.0,101.1,4.6,101.1,4.6
Perlis,2021,35.9,113.3,31.7,100.2,6.5,101.0,6.7
Selangor,2021,1406.1,3676.9,38.2,101.5,3.1,101.5,3.1
Terengganu,2021,149.4,488.5,30.6,103.1,5.3,103.1,5.3
Sabah,2021,354.9,2022.0,17.6,116.0,5.4,116.0,5.4
Sarawak,2021,338.8,1338.6,25.3,113.0,2.5,113.0,2.5
Kuala Lumpur,2021,478.8,893.3,53.6,101.7,3.1,102.8,3.3
Labuan,2021,17.5,48.0,36.5,115.2,5.3,116.2,5.5
Putrajaya,2021,22.4,37.8,59.3,101.7,2.9,102.8,2.8
